p,spin_spectral_support,coherent_weight,lambda_spin_only,lambda_coupled,Tc_spin_only_K,Tc_coupled_K
0.06,0.36787944117144233,0.8442996768219706,0.2575156088200096,0.21742034530334714,8.64511962342739,4.224365769513171
0.07,0.4448580662229411,0.7855807620354545,0.31140064635605874,0.24463035706272568,16.927805867051067,7.045961412296133
0.08,0.5272924240430487,0.7274197259250083,0.369104696830134,0.26849403740580935,27.966190886826407,10.132795227194567
0.09,0.612626394184416,0.6801240851550702,0.4288384759290912,0.29166337612056775,40.787448409392425,13.621434272996238
0.1,0.697676326071031,0.6534825581877912,0.4883734282497217,0.3191435172435698,54.19785120012302,18.299398221271563
0.11,0.7788007830714049,0.6534825581877912,0.5451605481499834,0.3562529096281097,67.08313609569097,25.36220549361624
0.12,0.8521437889662112,0.6801240851550702,0.5965006522763479,0.4056944604238537,78.55591072960662,35.70695653475248
0.13,0.9139311852712282,0.7274197259250084,0.6397518296898597,0.46536810061302036,87.98343795411557,48.98029755171526
0.14,0.9607894391523233,0.7855807620354545,0.6725526074066263,0.5283443898354293,94.95301370941719,63.278767141051084
0.15,0.990049833749168,0.8442996768219706,0.6930348836244176,0.5851291282704477,99.21864012820438,76.0377736416776
0.16,1.0,0.8956309521995395,0.7,0.6269416665396776,100.65343530554583,85.21777026235733
0.17,0.9900498337491681,0.9354181666024537,0.6930348836244177,0.6482774202314976,99.21864012820441,89.81079928541843
0.18,0.9607894391523233,0.9631102714033475,0.6725526074066263,0.6477423242524248,94.95301370941719,89.69642710539941
0.19,0.9139311852712282,0.9805483255859809,0.6397518296898597,0.6273075853929595,87.98343795411557,85.29709512572776
0.2,0.8521437889662112,0.9905318535967773,0.5965006522763479,0.5908528967709775,78.55591072960662,77.3071206921439
0.21,0.778800783071405,0.9957456875845297,0.5451605481499835,0.5428412648615645,67.083136095691,66.55945224045819
0.22,0.697676326071031,0.9982353839091082,0.4883734282497217,0.48751163663986824,54.19785120012302,54.00202916520733
0.23,0.612626394184416,0.9993243410523203,0.4288384759290912,0.42854872737572036,40.787448409392425,40.723192726096606
0.24,0.5272924240430488,0.9997611851815352,0.36910469683013414,0.36901654915896615,27.966190886826418,27.94809798515178
0.25,0.4448580662229412,0.9999220795500784,0.31140064635605885,0.3113763818775889,16.92780586705108,16.923570294604467
0.26,0.36787944117144233,0.9999765308114941,0.2575156088200096,0.257509565137643,8.64511962342739,8.644331750959482
